Sr.No,State,Year,Month,Value
607,TELANGANA,1951,JUL,356.0
608,TELANGANA,1951,AUG,151.7
609,TELANGANA,1951,SEP,103.9
610,TELANGANA,1951,OCT,64.4
611,TELANGANA,1951,NOV,0.7
612,TELANGANA,1951,DEC,0.0
613,TELANGANA,1952,JAN,0.5
614,TELANGANA,1952,FEB,16.4
615,TELANGANA,1952,MAR,0.8
616,TELANGANA,1952,APR,12.4
617,TELANGANA,1952,MAY,32.5
618,TELANGANA,1952,JUN,80.1
619,TELANGANA,1952,JUL,205.1
620,TELANGANA,1952,AUG,148.9
621,TELANGANA,1952,SEP,137.7
622,TELANGANA,1952,OCT,88.3
623,TELANGANA,1952,NOV,0.2
624,TELANGANA,1952,DEC,6.9
625,TELANGANA,1953,JAN,5.1
626,TELANGANA,1953,FEB,0.0
627,TELANGANA,1953,MAR,3.0
628,TELANGANA,1953,APR,26.8
629,TELANGANA,1953,MAY,0.7
630,TELANGANA,1953,JUN,224.0
631,TELANGANA,1953,JUL,200.9
632,TELANGANA,1953,AUG,364.5
633,TELANGANA,1953,SEP,269.5
634,TELANGANA,1953,OCT,175.8
635,TELANGANA,1953,NOV,1.7
636,TELANGANA,1953,DEC,0.0
637,TELANGANA,1954,JAN,0.0
638,TELANGANA,1954,FEB,0.0
639,TELANGANA,1954,MAR,13.2
640,TELANGANA,1954,APR,4.3
641,TELANGANA,1954,MAY,14.4
642,TELANGANA,1954,JUN,105.3
643,TELANGANA,1954,JUL,300.4
644,TELANGANA,1954,AUG,192.5
645,TELANGANA,1954,SEP,252.9
646,TELANGANA,1954,OCT,44.2
647,TELANGANA,1954,NOV,0.0
648,TELANGANA,1954,DEC,1.2
649,TELANGANA,1955,JAN,1.0
650,TELANGANA,1955,FEB,0.0
651,TELANGANA,1955,MAR,2.9
652,TELANGANA,1955,APR,9.8
653,TELANGANA,1955,MAY,27.8
654,TELANGANA,1955,JUN,230.3
655,TELANGANA,1955,JUL,259.9
656,TELANGANA,1955,AUG,300.1
657,TELANGANA,1955,SEP,249.7
658,TELANGANA,1955,OCT,116.2
659,TELANGANA,1955,NOV,5.5
660,TELANGANA,1955,DEC,0.0
661,TELANGANA,1956,JAN,0.7
662,TELANGANA,1956,FEB,1.5
663,TELANGANA,1956,MAR,1.9
664,TELANGANA,1956,APR,5.9
665,TELANGANA,1956,MAY,52.9
666,TELANGANA,1956,JUN,220.1
667,TELANGANA,1956,JUL,393.8
668,TELANGANA,1956,AUG,133.3
669,TELANGANA,1956,SEP,156.9
670,TELANGANA,1956,OCT,94.5
671,TELANGANA,1956,NOV,59.1
672,TELANGANA,1956,DEC,0.0
673,TELANGANA,1957,JAN,0.0
674,TELANGANA,1957,FEB,7.7
675,TELANGANA,1957,MAR,23.7
676,TELANGANA,1957,APR,33.4
677,TELANGANA,1957,MAY,18.6
678,TELANGANA,1957,JUN,157.9
679,TELANGANA,1957,JUL,206.9
680,TELANGANA,1957,AUG,358.5
681,TELANGANA,1957,SEP,100.9
682,TELANGANA,1957,OCT,75.6
683,TELANGANA,1957,NOV,0.0
684,TELANGANA,1957,DEC,0.0
685,TELANGANA,1958,JAN,2.1
686,TELANGANA,1958,FEB,4.9
687,TELANGANA,1958,MAR,10.0
688,TELANGANA,1958,APR,24.7
689,TELANGANA,1958,MAY,14.1
690,TELANGANA,1958,JUN,72.9
691,TELANGANA,1958,JUL,407.5
692,TELANGANA,1958,AUG,351.7
693,TELANGANA,1958,SEP,135.2
694,TELANGANA,1958,OCT,69.8
695,TELANGANA,1958,NOV,20.9
696,TELANGANA,1958,DEC,0.0
697,TELANGANA,1959,JAN,1.0
698,TELANGANA,1959,FEB,0.4
